Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Supplies: General,"SUPPLY AND DELIVERY OF DRY BEANS, DRY MAIZE SEEDS, NPK FERTILIZER AND LAN FERTILIZER",18/08/2023,Q03065,Umzinyathi District Municipality,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,"Princess Magogo Building, 39 Victoria Street - Endumeni - Dundee - 3000",N/A,Ms. Phila Khumalo,khethiwe@umzinyathi.gov.za,034-219-1500,034-219-1595,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=5b8ac99a-41a1-46bc-ac58-f982c6789f38.pdf&downloadedFileName=BID+DOCUMENT+FOR+Q03065+-+SUPPLY+AND+DELIVERY+OF+DRY+BEANS%2C+DRY+MAIZE+SEEDS%2C+NPK+FERTILIZER+AND+LAN+FERTILIZER.pdf
Civil engineering,FOR CONSULTING ENGINEERING SERVICES FOR THE SUPERVISION OF UPGRADE R72 FROM FISH RIVER (R72 SECTION 3 KM 27.5) TO BIRHA RIVER (R72 SECTION 3 KM 49.3),18/08/2023,CONTRACT SANRAL R.072-030-2017/1S,South African National Roads Agency Soc Limited (SANRAL),Request for Bid(Open-Tender),Eastern Cape,18.08.2023,22.09.2023,20 SHOREWARD DRIVE - PORT ELIZABETH - PORT ELIZABETH - 6025,"Only tenderers who are registered on the National Treasury Central Supplier Database and meet the minimum requirements for the key persons as stipulated in Clause C.2.1 at the tender closing date, are eligible to tender
Joint Ventures (JV) will be allowed on condition that one JV partner is a Targeted Enterprise. The JV partner will, however, not contribute to sub-contract target for Targeted Enterprises",Procurement Officer,ProcurementSR4@sanral.co.za,041-398-3265,N/A,Yes,NO,"Wednesday, 30 August 2023 - 14:00",Vitrual,https://www.etenders.gov.za/home/Download/?blobName=ac2721c2-3b42-4c7b-b4b7-70240cebf0e0.zip&downloadedFileName=R.072.030-2017.1S.zip
Services: Building,Construction of Smithfield Indoor Sports Center,18/08/2023,SCM-INFRA/02/2023,Free State - Sport Arts Culture & Recreation,Request for Bid(Open-Tender),Free State,18.08.2023,08.09.2023,"Cnr Hill and Henry Street, Zana Building  - Bloemfontein  - Bloemfontein  - 9301",N/A,Me Queen Nakedi,queen@sacr.fs.gov.za,066-992-2132,N/A,Yes,Yes,"Friday, 25 August 2023 - 11:00",SMITHFIELD,"https://www.etenders.gov.za/home/Download/?blobName=673229e1-90c2-4ad5-8d8c-12ac0f5f422d.pdf&downloadedFileName=1.+SCM-INFRA-08-2023+-+Smithfield+Multi-+Indoor+Sports+Centre+-+Tender+Doc+%28Rev+2%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=0f959f58-aeaf-43e1-be5a-2213d0a3c9dd.pdf&downloadedFileName=5.+SCM-INFRA-08-2022+-+Smithfield+Indoor+Sports+Centre-Mechanical+Draw.pdf, https://www.etenders.gov.za/home/Download/?blobName=8e6614d6-845e-4b2c-a31e-370562ee30ab.pdf&downloadedFileName=7.+SCM-INFRA-08-2022+-+Smithfield+Indoor+Sports+Centre-OHS+Spec.pdf, https://www.etenders.gov.za/home/Download/?blobName=a787e18e-3f6a-41d4-b049-482927f19522.pdf&downloadedFileName=2.+SCM-INFRA-08-2023+-+Smithfield+Indoor+Sports+Centre-Architecrural+Drawings.pdf, https://www.etenders.gov.za/home/Download/?blobName=512aeea3-5a29-4fce-873a-50d8e99ca186.pdf&downloadedFileName=4.+SCM-INFRA-08-2022+-+Smithfield+Indoor+Sports+Centre-Electrical+draw.pdf, https://www.etenders.gov.za/home/Download/?blobName=f776028f-669c-4b42-9d9c-9e9a2b4674ef.pdf&downloadedFileName=8.+SCM-INFRA-08-2022+-+Smithfield+Indoor+Sports+Centre-Geotech+Report.pdf, https://www.etenders.gov.za/home/Download/?blobName=9e6764e6-3386-42d9-9811-a599297ab96b.pdf&downloadedFileName=SKM_C300i23081811120.pdf, https://www.etenders.gov.za/home/Download/?blobName=b56715d2-e7f7-4239-9fc5-c405164267a7.pdf&downloadedFileName=6.+SCM-INFRA-08-2022+-+Smithfield+Indoor+Sports+Centre-Civil+Draw.pdf, https://www.etenders.gov.za/home/Download/?blobName=733da285-5ea2-4e7c-8036-d897ca8e89d5.pdf&downloadedFileName=3.+SCM-INFRA-08-2022+-+Smithfield+Indoor+Sports+Centre-Structural+Draw.pdf"
Repair and installation of machinery and equipment,THE APPOINTMENT OF A SERVICE PROVIDER FOR THE RENEWAL AND INSTALLATION OF THE EXISTING INDUSTRIAL COLD AND FREEZER ROOMS.,18/08/2023,ARC/05/08/2023,Agricultural Research Council,Request for Bid(Open-Tender),Gauteng,18.08.2023,08.09.2023,"Old Olifantsfontein Road - Centurion, Pretoria - Centurion, Pretoria - 0062",N/A,Joshua Ngomane,Ngomanesj@arc.agric.za,012-672-9120,N/A,Yes,Yes,"Monday, 28 August 2023 - 10:00","Agricultural Research Council, Irene, Centurion. Meat Science Centre/ Abattoir.",https://www.etenders.gov.za/home/Download/?blobName=42c78e99-b2be-4d0d-8440-bfd945c13cb2.pdf&downloadedFileName=TENDER+ARC-05-08-2023.pdf
Supplies: Computer Equipment,"FOR THE SUPPLY, INSTALLATION AND UPGRADE OF TEAMS BOARDROOM SOLUTION TRANSNET ENGINEERING TO VARIOUS CENTRE FOR A PERIOD OF THREE (3) YEARS ON AS AND WHEN BASIS.",18/08/2023,TE/2023/08/0008/38271/RFP,Transnet SOC Ltd,Request for Proposal,National,18.08.2023,19.09.2023,,Please bring the certificate of attendance SECTION 10,Banele Moshabane,banele.moshabane@transnet.net,012-842-5978,N/A,Yes,Yes,"Monday, 28 August 2023 - 11:00",Transnet Engineering  Fhata Lushaka,"https://www.etenders.gov.za/home/Download/?blobName=17337a4e-305c-4a65-a1a5-06ae80757b4d.pdf&downloadedFileName=RFP+-+Teams+Boardroom+Solution.pdf, https://www.etenders.gov.za/home/Download/?blobName=4f129b7c-8638-4bda-b46c-b9f8634bc1fa.pdf&downloadedFileName=Annexure+E+-+Transnet%27s+General+Bid+Conditions.pdf, https://www.etenders.gov.za/home/Download/?blobName=71a3a1f9-41c6-4079-b8cb-ceac605e2c39.pdf&downloadedFileName=Annexure+D+-Master+Agreement+Goods+and+Services_.pdf, https://www.etenders.gov.za/home/Download/?blobName=c8964954-9681-422c-9422-d6eabd78371b.xlsx&downloadedFileName=Annexure+A+and+B+-+specification+and+Price+schedule.xlsx, https://www.etenders.gov.za/home/Download/?blobName=f3a4ce61-0a23-4475-ad9c-e677a90b3e8d.pdf&downloadedFileName=Annexure+G+-+Non+Disclosure+Agreement.pdf, https://www.etenders.gov.za/home/Download/?blobName=5062d088-c768-4f6e-ac13-f211a345a422.pdf&downloadedFileName=Annexure+C+-Boardroom+Technical+Evaluation.pdf, https://www.etenders.gov.za/home/Download/?blobName=ff1cc96e-8e33-40fe-bd0d-f4d09a6bf0af.pdf&downloadedFileName=Annexure+F+-+Transnet%27s+Supplier+Integrity+Pact.pdf"
Civil engineering,Kgotsong/Bothaville: Upgrading of Sewer Outfall Phase 3,18/08/2023,NLM/TS/003/2023-24,Nala Local Municipality,Request for Bid(Open-Tender),Free State,18.08.2023,11.09.2023,8 Preller Street - Bothaville - bothaville - 9660,"Required CIDB Grading for this tender is 5CE or Higher.
Tender documents will be available from 28th of August 2023 at a cost of R1500.00 non-refundable fee payable at cashiers' point, Nala Local Municipality, 8 Preller street, Bothaville, 9660. Tender documents will only be sold to service providers who attended compulsory briefing session.",Phillip Modisadife,pmodisadife@nala.org.za,060-844-1635,056-515-3922,Yes,Yes,"Monday, 28 August 2023 - 10:00","Nala Municipality, 8 Preller Street, Bothaville, 9660","https://www.etenders.gov.za/home/Download/?blobName=9d72d564-91b9-4fef-b834-299d14ad6249.pdf&downloadedFileName=NLM-2023-LS-02-Sewer+Layout+and+Details-01-LS1.pdf, https://www.etenders.gov.za/home/Download/?blobName=03f81884-e79b-4af5-bc9b-3c0e18a46d01.pdf&downloadedFileName=NLM-2023-D-01-Sewer+Layout+and+Details-01-D1.pdf, https://www.etenders.gov.za/home/Download/?blobName=c408c519-598e-44f6-8462-629243a112ba.pdf&downloadedFileName=NLM-2023-L-03-LAYOUTS-LAY.pdf, https://www.etenders.gov.za/home/Download/?blobName=c0eb6334-0dac-4d58-9ace-6a2229500b5f.pdf&downloadedFileName=NLM-2023-L-02-LAYOUTS-LAY.pdf, https://www.etenders.gov.za/home/Download/?blobName=df86b063-85bd-45e7-80a7-6fe6f58fe469.pdf&downloadedFileName=NLM-2023-L-04-LAYOUTS-LAY.pdf, https://www.etenders.gov.za/home/Download/?blobName=e0126392-dd5c-45c4-a26f-977b32300e10.pdf&downloadedFileName=NLM-2023-D-02-Sewer+Layout+and+Details-01-D1.pdf, https://www.etenders.gov.za/home/Download/?blobName=9248f35d-af74-4e9c-9abd-a920dbb4ad1a.pdf&downloadedFileName=NLM-D-2023-03-Sewer+Layout+and+Details-01-D1.pdf, https://www.etenders.gov.za/home/Download/?blobName=c3dcb5f7-d96c-4e97-ae56-c7cf5512e03b.pdf&downloadedFileName=NLM-2023-LS-01-Sewer+Layout+and+Details-01-LS1.pdf, https://www.etenders.gov.za/home/Download/?blobName=bb48ca56-f252-4cf0-a817-c94b962fceb5.pdf&downloadedFileName=NLM-2023-L-01-LAYOUTS-KEY+PLAN.pdf, https://www.etenders.gov.za/home/Download/?blobName=93b4e404-137a-4605-afdd-e0f8c58beaed.pdf&downloadedFileName=Advert+-+KGT+Sewer+PH3.pdf, https://www.etenders.gov.za/home/Download/?blobName=3f3bd110-aeb2-4d2e-b42a-e7d37f7d7d58.pdf&downloadedFileName=KGOTSONG+SCOPE+OF+WORK.pdf"
Other service activities,PANEL FUNERAL PARLOURS FOR A PERIOD OF 3 YEARS  (RE-ADVERT,18/08/2023,MM-B008/23/24,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.08.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid.",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,Yes,Yes,"Monday, 21 August 2023 - 10:00",CREIGHTON OFFICE,https://www.etenders.gov.za/home/Download/?blobName=dbc28f13-0fe2-47ff-90cc-376687d1878a.docx&downloadedFileName=NDZ+ADVERTS.docx
Construction,CONSTRUCTION OF UNDERBERG AND HIMEVILLE VEMETRY PAVING,18/08/2023,PWBS-B027/23/24,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,04.09.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid.",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,Yes,Yes,"Monday, 28 August 2023 - 10:00",CREIGHTON OFFICE,https://www.etenders.gov.za/home/Download/?blobName=017c759a-6003-4b5b-9cef-05df02d93faf.docx&downloadedFileName=NDZ+ADVERTS.docx
Other service activities,PROVISION OF HORTICULTURAL SERVICES(RE-ADVERT),18/08/2023,PWBS-B049/22/23,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid.",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,Yes,Yes,"Thursday, 21 September 2023 - 10:00",CREIGHTON OFFICE,https://www.etenders.gov.za/home/Download/?blobName=81fd732a-ccb4-4673-9cfe-54a8278afc86.docx&downloadedFileName=NDZ+ADVERTS.docx
Construction,THE APPOINTMENT OF A CONTRACTOR FOR BOSMONT STATION UGRADES AT CORRIDOR 10 ROODEPOORT TO INDUSTRIA IN THE SOUTH GAUTENG REGION TO BE DONE OVER 3 MONTHS CONSTRUCTION PERIOD.,18/08/2023,SGR/CRES/BOSMONT-CON/08/2023,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,18.08.2023,04.09.2023,30 Wolmarans Street - Braamfontein - Johannesburg - 2001,N/A,Mduduzi Sikhosana,mduduzi.sikhosana@prasa.com,011-013-1687,N/A,Yes,Yes,"Monday, 28 August 2023 - 11:00",BOSMONT STATION,"https://www.etenders.gov.za/home/Download/?blobName=f14ddc5f-4a43-4328-8b7a-2c9c5c677dba.pdf&downloadedFileName=RFQ+BOSMONT+STATION+SCOPE+OF+WORK.pdf, https://www.etenders.gov.za/home/Download/?blobName=eedde523-b370-4f91-b1b5-5adbfe10496a.pdf&downloadedFileName=RFQ+APPOINTMENT+FOR+CONTRACTOR+FOR+BOSMONT+STATION+TO+UPGRADES+CORRIDOR+10_ROODEPOORT+TO+INDUSTRIA+IN+SGR+REGION_3+MONTHS+PERIOD.pdf, https://www.etenders.gov.za/home/Download/?blobName=3934a3a4-3680-4583-a002-c19a60ea9766.pdf&downloadedFileName=RFQ+BOSMONT+STATION+BOQ.pdf"
Information service activities,"Request for information (RFI) for Management Information, Business Intelligence (BI) and Analytics Software Products on Behalf of Department of Defence (DOD)",18/08/2023,RFI 2786/2023,State Information Technology Agency,Request for Information,Gauteng,18.08.2023,19.09.2023,459 Tsitsa Street - Erasmuskloof - Pretoria - 0181,N/A,Nomfanelo Dyam,Nomfanelo.Dyam@sita.co.za,012-482-3105,N/A,Yes,NO,"Wednesday, 30 August 2023 - 11:00",Microsoft Teams,"https://www.etenders.gov.za/home/Download/?blobName=ad20243c-19ef-4d65-9929-2224a814e9f1.docx&downloadedFileName=RFI+2786-2023+Annexure+1+-+Information+Management+Solution+for+BI+and+Anaytics+Software+Solution.docx, https://www.etenders.gov.za/home/Download/?blobName=ad7b02b6-d2e9-42cb-bb09-2f6b6d402913.pdf&downloadedFileName=RFI+2786-2023+Fraud+and+Corruption+notice+to+bidders+Aug+2022.pdf, https://www.etenders.gov.za/home/Download/?blobName=b067b059-5a92-415c-bce3-91694e935ebc.docx&downloadedFileName=REQUEST+FOR+INFORMATION+2786_2023+DOCUMENT.docx, https://www.etenders.gov.za/home/Download/?blobName=454f1e27-26ac-42cc-ab11-b17eea045569.pdf&downloadedFileName=Invitation+Letter_RFI+2786_2023.pdf"
Other service activities,"APPOINTMENT OF SERVICE PROVIDER FOR THE PROVISION OF SPECIALIZED VEHICLE ON A FULL MAINTENANCE LEASE (FML), FLEET SUPPORT AND MANAGED MAINTENANCE FOR A PERIOD OF FOUR (04) YEARS FOR THE NORTH WEST DEPARTMEENT OF HEALTH 














APPOINTMENT OF SERVICE PROVIDER FOR THE PROVISION OF SPECIALIZED VEHICLES ON A FULL MAINTENANCE LEASSE 




APPOINTMENT OF SERVICE PROVIDER FOR THE PROVISION OF SPECIALIZED VEHICLES ON A FULL MAINTENANCE LEASE (FML), FLEET SUPPORT AND MANAGED MAINTENANCE FOR A PERIOD OF FOUR (04) YEARS FOR THE NORTH WEST DEPARTMENT OF HEALTH ( Phase 1)",18/08/2023,NWDOH 20/2023,North West - Department of Health,Request for Bid(Open-Tender),North West,18.08.2023,28.09.2023,"Department of Health North West, Ground Floor, New Office Park Building, 3801 Corner First Street - Mmabatho - Mahikeng - 2745",REFER TO THE BID DOCUMENT,Admin Ms R Mogolegang/ Technical Mr B.K Ledwaba,RMogolegang@nwpg.gov.za,018-391-4443,000-000-0000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a2bb1eee-be51-4004-815e-80a17a711b68.pdf&downloadedFileName=BID+DOCUMENT+NWDOH+20_2023.pdf
Food and beverage service activities,Supply and delivery of Pre- packed meals,18/08/2023,RFQ156/2023,Artscape,Request for Quotation,Western Cape,18.08.2023,24.08.2023,DF Malan Street - Foreshore - Cape Town - 8000,N/A,Tania Williams Kopondo,taniaw@artscape.co.za,021-410-9800,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=5e5262de-3005-4f43-89d6-2252a34f9a7c.pdf&downloadedFileName=RFQ++156_2023+learners+pre+pack+meal+-+School+Arts+Festival+Gala+31st+August+2023.pdf
Supplies: Clothing/Textiles/Footwear,SUPPLY AND DELIVERY OF PROTECTIVE CLOTHING,18/08/2023,REQ-055821,Agricultural Research Council,Request for Quotation,National,18.08.2023,24.08.2023,100 Soutpan Road - Pretoria - Pretoria - 0110,NB: Forward quotations to MphagaS@arc.agric.za,Sefako Mphaga,MphagaS@arc.agric.za,012-529-9283,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=2b9387ad-71b8-4eaa-9787-ca4cce67247d.pdf&downloadedFileName=REQ-055821.pdf
Services: General,supply and delivery of ICT COMPONENTS ON VARIOUS ITEM,18/08/2023,10340366,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,18.08.2023,23.08.2023,CNR LEYDS AND SIMMONS STREETS BRAAMFONTEIN JOHANNESBURG - JOHANNESBURG - JOHANNESBURG - 2001,N/A,Anthony Mabunda,Anthony.Mabunda@prasa.com,011-013-0110,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=24ee1a73-5d96-48d3-9399-2a52508cb114.pdf&downloadedFileName=RFQ+10340366+ICT+COMOPONENTS+%28002%29.pdf
Legal and accounting activities,LEGAL VETTING OF CONTRACT BETWEEN TKZN AND IEASA,18/08/2023,RFQ10267,KwaZulu-Natal Tourism Authority,Request for Quotation,KwaZulu-Natal,18.08.2023,29.08.2023,29 Canal Quay (Signal Road) - Point - Durban - 4001,"Please see ""details for service provider"" note attached.",Kiara Mohan,Kiara@zulu.org.za,031-366-7563,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=ddbac6d9-86a1-42b2-9135-1bca51005b2b.pdf&downloadedFileName=RFQ+for+Vetting+IEASA+Contract+v2SCM.pdf, https://www.etenders.gov.za/home/Download/?blobName=f7123256-9ac0-4578-ac00-a3e2b229d826.pdf&downloadedFileName=RFQ10267+Details+for+Supplier+.pdf, https://www.etenders.gov.za/home/Download/?blobName=83e8ea75-cf01-428e-a857-c9333ed24bc0.docx&downloadedFileName=Draft+TKZN+-Agreement+Contract++2023+IEASA_.docx, https://www.etenders.gov.za/home/Download/?blobName=b6385a96-035a-4897-a103-e9890d17c662.docx&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022.docx, https://www.etenders.gov.za/home/Download/?blobName=5c707f99-be30-48e3-8059-fd33c7e74c97.pdf&downloadedFileName=Revised+SBD+4.pdf"
Construction of buildings,Request for Quotation for Urgent Supply and Delivery of ???repairs of roofing at Pothouse,18/08/2023,RFQ-076963‬‬,Agricultural Research Council,Request for Quotation,Gauteng,18.08.2023,25.08.2023,600 Belvedere Street - Pretoria - Pretoria - 0002,N/A,Ayanda Mhlongo,Mhlongoa@arc.agric.za,012-310-2618,N/A,Yes,Yes,"Tuesday, 22 August 2023 - 11:00","600 Belvedere Street, Arcadia","https://www.etenders.gov.za/home/Download/?blobName=2153cdad-cc5d-4fe0-a35f-23810fa4da92.doc&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4+-+Copy.doc, https://www.etenders.gov.za/home/Download/?blobName=9f00105d-7ebf-4dc9-9bfe-58ef54ea0c7f.pdf&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022+%28002%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=b540b30c-7a07-4754-9459-bd004f7f848f.xls&downloadedFileName=Local+Content+Annex+C%2CD%2CE.xls, https://www.etenders.gov.za/home/Download/?blobName=2ae6e5f3-7fd3-4876-83e1-f07d78e223b1.pdf&downloadedFileName=Specification+for+repairs+of+roofing+at+Pothouse%E2%80%AC%E2%80%AC%E2%80%AC.docx.pdf, https://www.etenders.gov.za/home/Download/?blobName=96ae40b8-9c22-486c-ba60-fea50fb42d55.pdf&downloadedFileName=Urgent+Request+for+Quotation+for+Supply+and+Delivery+of+repairs+of+roofing+at+Pothouse%E2%80%AC%E2%80%AC%E2%80%AC.pdf"
"Other professional, scientific and technical activities","REQUEST FOR AN EXPRESSION OF INTEREST (EOI) for the provision of service, maintenance, and repairs as well as supply of spares and consumables, for Xylem/SI Analytics brand coulometers (KF Titroline) to all Petroleum and Flow Sciences (P&FS) laboratories as and when required for the
period of three (5) years",18/08/2023,MWP2159CX,ESKOM,Expression of interest,Gauteng,18.08.2023,30.08.2023,,N/A,Nicole Moila,BrooksNM@eskom.co.za,011-709-3755,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=ca6ceb61-de3a-4fb2-a5c9-8d81ac74b0bb.pdf&downloadedFileName=Expression+of+Interest+%28EOI%29+or+Request+for+Information+%28RFI%29+Titroline+coulometers.pdf
Services: General,SUPPLY AND DELIVERY OF ICT COMPONENTS ( LAN POINTS),18/08/2023,10340367,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,18.08.2023,23.08.2023,CNR LEYDS AND SIMMONS STREETS BRAAMFONTEIN JOHANNESBURG - JOHANNESBURG - JOHANNESBURG - 2001,N/A,Anthony Mabunda,Anthony.Mabunda@prasa.com,011-013-0110,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=fd71fd8a-9dfd-4b98-a01b-13d37855d4f7.pdf&downloadedFileName=RFQ+10340367+ICT+COMPONENTS+LAN+POINTS.pdf
Other service activities,The Establishment of a panel of registered medical practitioners for the certification and review committees at the Medical Bureau for Occupational diseases (MBOD) for a period of five (05) years,18/08/2023,NDOH 37-2023/2024,Health,Request for Bid(Open-Tender),Gauteng,18.08.2023,08.09.2023,"1112 Voortrekker Rd, - Pretoria Townlands 351-Jr - Pretoria Townlands 351-Jr - 0187",Refer to the Bid document,National Department of Health,tenders@health.gov.za,012-395-8000,N/A,Yes,NO,"Friday, 25 August 2023 - 11:00","144 De Korte Street, Braamfontein Johannesburg  2000.",https://www.etenders.gov.za/home/Download/?blobName=837b2a9e-000f-4438-a0de-fd4d51462689.pdf&downloadedFileName=NDOH-37-2023-2024-Bid-Document.pdf
Supplies: Electrical Equipment,Supply and Delivery of Electrical Materials for 36 months as and when required,18/08/2023,ALMT04/2023,Chief Albert Luthuli Municipality,Request for Bid(Open-Tender),Mpumalanga,18.08.2023,18.09.2023,28 KERK STREET - Carolina - Carolina - 1185,Tender document will only be available on  21 September 2023.,Mr. JA Nkosi,nkosija@albertluthuli.gov.za,017-843-4000,017-843-4000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=43eebe90-d91a-4a27-b7f8-1988ebb6d319.pdf&downloadedFileName=Tender+Advert+1-7+2023+-+Electrical+materials.pdf
Supplies: General,Appointment of qualified and reputable service providers to supply petrol and diesel for a period of 36 months as and when required,18/08/2023,ALMT01/2023,Chief Albert Luthuli Municipality,Request for Bid(Open-Tender),Mpumalanga,18.08.2023,18.09.2023,28 KERK STREET - Carolina - Carolina - 1185,Tender document will be available on 22 August 2023,Mr. JA Nkosi,nkosija@albertluthuli.gov.za,017-843-4000,017-843-4000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e7e07e31-0597-47ca-bb96-89e99f2f07b0.pdf&downloadedFileName=Tender+Advert+1-7+2023.pdf
Accommodation,EXPRESSION OF INTEREST TO LEASE OFFICE ACCOMMODATION TO THE WCG,18/08/2023,S032/23,Western Cape - Transport and Public Works,Expression of interest,Western Cape,18.08.2023,08.09.2023,9 DORP STREET - CAPE TOWN - CAPE TOWN - 8000,N/A,TPW TENDER HELPDESK,TPWTENDER.HELPDESK@WESTERNCAPE.GOV.ZA,000-000-0000,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=6c9c7ff6-b22c-431b-84e7-35b16e0878ab.docx&downloadedFileName=TENDER+DOCS.docx
Supplies: Electrical Equipment,Supply And Install Fresh Water For Fire System At Island View Terminal 1,18/08/2023,TPL/2023/04/0003/28144/RFQ,Transnet SOC Ltd,Request for Quotation,KwaZulu-Natal,18.08.2023,15.09.2023,,N/A,Tshilidzi Matumba,Tshilidzi.matumba@transnet.net,031-361-3965,N/A,Yes,Yes,"Friday, 25 August 2023 - 10:00","Cnr. of Taiwan and Trinidad road, Bayhead, Durban","https://www.etenders.gov.za/home/Download/?blobName=3076d840-6641-48a7-8ccc-6b1802a8f446.pdf&downloadedFileName=Part+03+RFQ+IVW+Water+for+fire+systems.pdf, https://www.etenders.gov.za/home/Download/?blobName=20d5b632-c2f6-4f44-822a-b190f34f73cd.pdf&downloadedFileName=Part+02+RFQ+IVW+Water+for+fire+systems.pdf, https://www.etenders.gov.za/home/Download/?blobName=883a89e3-5a3d-48a6-94b2-d67e4b365c59.pdf&downloadedFileName=Part+05+Technical+Specs+IVW+Water+for+fire+systems.pdf, https://www.etenders.gov.za/home/Download/?blobName=6f24e6b5-1695-4218-951b-dce403e2c08f.pdf&downloadedFileName=Part+04+RFQ+IVW+Water+for+fire+systems.pdf, https://www.etenders.gov.za/home/Download/?blobName=5fa34b20-b3af-46df-95e2-f2b92fad78f1.pdf&downloadedFileName=Part+01+RFQ+IVW+Water+for+fire+systems.pdf"
Legal and accounting activities,ESTABLISHMENT OF A PANEL OF SUITABLY QUALIFIED ATTORNEYS TO BE INCLUDED ON THE KGFT’s PANEL OF ATTORNEYS FOR A PERIOD OF 3 YEARS,18/08/2023,KGFT RFP 2023 - 03,KZN Growth Fund Trust,Request for Proposal,KwaZulu-Natal,18.08.2023,15.09.2023,303 Dr. Pixley Kaseme Street - Durban - Durban - 4001,N/A,Joy Ngcobo,scm@kzngf.co.za,031-372-3720,N/A,Yes,Yes,"Thursday, 24 August 2023 - 10:00",Method: Online via Teams Meeting ID: 342 996 411 513 Password: iY8Nyp,https://www.etenders.gov.za/home/Download/?blobName=4f4e240c-5866-4fc3-ad9a-3d09134bb723.pdf&downloadedFileName=REQUEST+FOR+PROPOSAL+-+Legal+Panel_Final.pdf
"Electricity, gas, steam and air conditioning",APPOINTMENT OF A SUITABLY QUALIFIED 5 ME OR HIGHER (CIDB GRADE) TO UPGRADE HVAC SYSTEM AT LEHAE LA SARS IN BROOKLYN,18/08/2023,RFP 011/2023,South African Revenue Service,Request for Proposal,Gauteng,18.08.2023,11.09.2023,"299 Bronkhorst Street, Nieuw Muckleneuk - Brooklyn - Pretoria - 0001","The compulsory physical site visit will be held on 24 August 2023
Time: 10H00",Tender Office,tenderoffice@sars.gov.za,012-422-4078,N/A,Yes,Yes,"Thursday, 24 August 2023 - 10:00","299 Bronkhorst Street, Nieuw Muckleneuk, Brooklyn, Pretoria, 0181.",https://www.etenders.gov.za/home/Download/?blobName=54b48be1-f7ac-436a-b456-111ade8fd53b.zip&downloadedFileName=Tender+Pack.zip
